"offense","offender_gender","victim_agegroup","offender_agegroup","count"
"0","U","15","2","1"
"0","U","15","4","1"
"0","U","15","5","2"
"0","U","15","6","1"
"0","U","15","7","1"
"0","U","15","10","3"
"0","U","15","11","1"
"0","U","15","17","2"
"0","U","16","0","2"
"0","U","16","3","1"
"0","U","16","4","3"
"0","U","16","9","1"
"0","U","16","10","1"
"0","U","16","11","1"
"0","U","17","0","1"
"0","U","17","10","2"
"0","U","17","11","1"
"0","U","18","19","1"
"0","U","19","6","1"
"1","F","0","0","6"
"1","F","0","1","61"
"1","F","0","2","82"
"1","F","0","3","32"
"1","F","0","4","60"
"1","F","0","5","82"
"1","F","0","6","45"
"1","F","0","7","47"
"1","F","0","8","18"
"1","F","0","9","21"
"1","F","0","10","21"
"1","F","0","11","15"
"1","F","0","12","9"
"1","F","0","13","7"
"1","F","0","15","3"
"1","F","0","17","1"
"1","F","1","0","4"
"1","F","1","1","134"
"1","F","1","2","201"
"1","F","1","3","51"
"1","F","1","4","41"
"1","F","1","5","100"
"1","F","1","6","87"
"1","F","1","7","64"
"1","F","1","8","39"
"1","F","1","9","20"
"1","F","1","10","18"
"1","F","1","11","25"
"1","F","1","12","13"
"1","F","1","13","9"
"1","F","1","14","3"
"1","F","1","15","4"
"1","F","1","16","2"
"1","F","2","0","1"
"1","F","2","1","14"
"1","F","2","2","407"
"1","F","2","3","217"
"1","F","2","4","59"
"1","F","2","5","52"
"1","F","2","6","129"
"1","F","2","7","91"
"1","F","2","8","64"
"1","F","2","9","36"
"1","F","2","10","31"
"1","F","2","11","21"
"1","F","2","12","10"
"1","F","2","13","13"
"1","F","2","14","1"
"1","F","3","2","50"
"1","F","3","3","372"
"1","F","3","4","102"
"1","F","3","5","60"
"1","F","3","6","51"
"1","F","3","7","100"
"1","F","3","8","57"
"1","F","3","9","43"
"1","F","3","10","19"
"1","F","3","11","14"
"1","F","3","12","12"
"1","F","3","13","2"
"1","F","3","14","1"
"1","F","3","16","2"
"1","F","4","1","1"
"1","F","4","2","1"
"1","F","4","3","19"
"1","F","4","4","100"
"1","F","4","5","41"
"1","F","4","6","32"
"1","F","4","7","29"
"1","F","4","8","22"
"1","F","4","9","8"
"1","F","4","10","17"
"1","F","4","11","14"
"1","F","4","12","1"
"1","F","4","13","1"
"1","F","5","1","1"
"1","F","5","2","2"
"1","F","5","3","3"
"1","F","5","4","17"
"1","F","5","5","68"
"1","F","5","6","28"
"1","F","5","7","17"
"1","F","5","8","13"
"1","F","5","9","11"
"1","F","5","10","11"
"1","F","5","11","9"
"1","F","5","12","5"
"1","F","5","13","2"
"1","F","5","14","1"
"1","F","5","15","1"
"1","F","6","2","4"
"1","F","6","3","6"
"1","F","6","4","7"
"1","F","6","5","26"
"1","F","6","6","74"
"1","F","6","7","23"
"1","F","6","8","8"
"1","F","6","9","8"
"1","F","6","10","5"
"1","F","6","11","5"
"1","F","6","12","4"
"1","F","6","13","2"
"1","F","6","14","1"
"1","F","6","17","1"
"1","F","7","1","1"
"1","F","7","2","2"
"1","F","7","3","5"
"1","F","7","4","6"
"1","F","7","5","19"
"1","F","7","6","19"
"1","F","7","7","51"
"1","F","7","8","14"
"1","F","7","9","11"
"1","F","7","10","6"
"1","F","7","11","3"
"1","F","7","12","4"
"1","F","7","13","1"
"1","F","7","14","3"
"1","F","7","15","1"
"1","F","8","2","3"
"1","F","8","3","5"
"1","F","8","4","4"
"1","F","8","5","6"
"1","F","8","6","14"
"1","F","8","7","11"
"1","F","8","8","27"
"1","F","8","9","4"
"1","F","8","10","5"
"1","F","8","11","4"
"1","F","8","12","4"
"1","F","8","13","2"
"1","F","8","15","1"
"1","F","9","1","1"
"1","F","9","2","2"
"1","F","9","3","3"
"1","F","9","5","6"
"1","F","9","6","7"
"1","F","9","7","8"
"1","F","9","8","5"
"1","F","9","9","15"
"1","F","9","10","6"
"1","F","9","11","3"
"1","F","9","12","3"
"1","F","9","15","1"
"1","F","10","2","1"
"1","F","10","3","3"
"1","F","10","4","1"
"1","F","10","5","3"
"1","F","10","6","4"
"1","F","10","7","7"
"1","F","10","8","3"
"1","F","10","9","3"
"1","F","10","10","10"
"1","F","10","11","3"
